Symbol,Description,Market Cap,Last,%Change,Volume,Gross Profit Margin - Current (Annual),Free Cash Flow Per Share - Current (Annual),Return on Equity (ROE) - Current (Annual),PE,EPS,Vol Index,IV_Percentile,HV_Percentile
LUV,SOUTHWEST AIRLINES CO COM,"27,559 M",46.5594,-1.77%,"1,700,378",51.989,-$6.19,-32.863,-776,-0.06,38.56%,30.26,45
MRO,MARATHON OIL CORPORATION COM,"12,394 M",15.92,-1.06%,"4,978,190",2.2422,$0.01,-12.776,-398,-0.04,50.64%,6.61,7
DAL,DELTA AIR LINES INC COM,"25,460 M",39.78,-2.28%,"4,301,269",13.472,-$11.54,-146.64,-331.5,-0.12,40.75%,16.79,32
GE,GENERAL ELECTRIC CO COM,"109,352 M",99.58,-2.36%,"2,662,242",25.284,-$0.85,15.867,-262.1,-0.38,32.85%,9.74,25
TWTR,TWITTER INC COM,"39,557 M",49.4702,-2.25%,"4,823,497",63.233,$0.18,-13.621,-224.9,-0.22,42.53%,11.94,34
CDAY,CERIDIAN HCM HLDG INC COM,"17,621 M",116.44,-1.31%,"196,900",50.445,$0.48,-0.20098,-207.9,-0.56,32.21%,9.28,26
VNO,VORNADO REALTY TRUST COM SHS OF BEN INT USD0.04,"8,637 M",45.06,0.96%,"208,082",8.6709,-$5.41,-6.234,-71.52,-0.63,32.92%,5.51,10
VLO,VALERO ENERGY CORP COM,"29,598 M",72.395,-1.44%,"911,028",-1.2432,-$4.93,-7.0239,-67.03,-1.08,37.18%,13.36,8
PSX,PHILLIPS 66 COM,"32,225 M",73.545,-1.52%,"488,859",7.8389,-$4.68,-18.148,-63.95,-1.15,35.12%,25.58,17
PEG,PUBLIC SERVICE ENTERPRISE GRP COM,"31,493 M",62.28,-0.29%,"337,005",54.795,-$2.18,12.261,-47.18,-1.32,23.58%,40.48,34
XOM,EXXON MOBIL CORPORATION COM,"268,620 M",63.45,-1.34%,"4,310,638",18.341,-$3.71,-12.867,-45.65,-1.39,28.66%,5.2,6
HST,HOST HOTELS & RESORTS INC COM STK USD0.01,"12,310 M",17.24,-0.75%,"756,072",-50.926,-$1.65,-10.733,-30.79,-0.56,27.83%,6.14,5
LYV,LIVE NATION ENTERTAINMENT INC COM,"25,384 M",112.99,-1.83%,"235,696",5.408,-$6.49,-511.34,-27.1,-4.17,46.15%,37.69,77
EXPE,EXPEDIA GROUP INC COM,"26,372 M",174.04,-2.00%,"508,259",50.51,-$13.10,-98.114,-26.61,-6.54,40.64%,23.45,58
OXY,OCCIDENTAL PETROLEUM CORP COM,"28,402 M",30.41,-1.14%,"4,741,068",6.8612,$0.93,-94.198,-26.44,-1.15,50.04%,1.32,8
LVS,LAS VEGAS SANDS CORP COM,"29,314 M",38.37,-2.34%,"2,062,559",-5.8416,-$3.55,-41.299,-25.58,-1.5,47.61%,38.82,67
BMY,BRISTOL-MYERS SQUIBB CO COM,"131,425 M",59.21,-0.39%,"1,793,497",51.03,$3.65,-20.163,-24.88,-2.38,24.17%,41,22
TAP,MOLSON COORS BEVERAGE COMPANY COM CL B,"10,099 M",46.545,-2.46%,"231,208",36.755,$4.24,-7.361,-22.59,-2.06,31.25%,16.37,26
CZR,CAESARS ENTERTAINMENT INC NEW COM,"20,860 M",97.58,-3.10%,"827,193",26.713,-$6.56,-57.294,-20.67,-4.72,52.46%,20.93,30
LUMN,LUMEN TECHNOLOGIES INC COM,"14,099 M",13.77,0.07%,"1,289,229",34.125,$2.05,-10.003,-19.39,-0.71,42.28%,10.03,24
HBI,HANESBRANDS INC COM,"6,017 M",17.23,-1.43%,"895,068",38.372,$0.85,-7.3716,-19.36,-0.89,31.01%,11.99,5
PPL,PPL CORP COM,"21,189 M",28.2252,-0.93%,"865,643",66.439,-$2.06,11.136,-16.41,-1.72,19.35%,30.76,12
BA,BOEING CO COM,"132,993 M",226.295,-0.14%,"5,446,398",-6.7649,-$6.22,1047.9,-15.21,-14.88,37.90%,20.08,35
WYNN,WYNN RESORTS LTD COM,"10,582 M",91.49,-3.69%,"752,140",-21.009,-$11.48,-297.22,-12.01,-7.62,47.74%,27.4,29
MCK,MCKESSON CORPORATION COM,"34,167 M",223.78,-0.02%,"304,868",5.1564,-$27.22,-179.02,-7.53,-29.72,25.98%,21.1,36
VTRS,VIATRIS INC COM,"16,139 M",13.345,-2.23%,"2,578,818",38.019,$2.80,-3.8458,-5.514,-2.42,34.34%,29.91,37
UAL,UNITED AIRLINES HOLDINGS COM,"15,248 M",47.0905,-3.38%,"3,763,944",29.254,-$21.79,-80.83,-4.489,-10.49,45.16%,17.75,28
